,open,high,low,close,volume,value
2023-12-21 09:00:00,59350000.0,60000000.0,58924000.0,59479000.0,4490.29798433,267069048287.66504
2023-12-22 09:00:00,59479000.0,60419000.0,59094000.0,59532000.0,4790.38513967,285751504134.6063
2023-12-23 09:00:00,59532000.0,59700000.0,59000000.0,59250000.0,2340.10844959,138939077714.4067
2023-12-24 09:00:00,59249000.0,59600000.0,58000000.0,58002000.0,3729.33358016,220016987575.62384
2023-12-25 09:00:00,58002000.0,58659000.0,57464000.0,58042000.0,4687.20889184,272132952454.451
2023-12-26 09:00:00,58042000.0,58140000.0,56349000.0,57032000.0,4735.23025583,270822789242.3728
2023-12-27 09:00:00,57032000.0,58212000.0,56349000.0,57920000.0,3965.8428233,227009564284.49377
2023-12-28 09:00:00,57920000.0,58468000.0,56700000.0,56907000.0,3958.81673633,226957310350.44257
2023-12-29 09:00:00,56904000.0,57300000.0,56000000.0,56450000.0,4273.27071779,241957208417.80063
2023-12-30 09:00:00,56450000.0,57150000.0,56101000.0,56639000.0,2301.72482929,130136720731.60126
2023-12-31 09:00:00,56639000.0,57437000.0,56452000.0,57047000.0,2308.38316024,131519480295.09232
2024-01-01 09:00:00,57045000.0,58847000.0,57045000.0,58839000.0,3165.32092908,182491217914.30185
2024-01-02 09:00:00,58839000.0,60997000.0,58814000.0,60206000.0,8221.19868374,495038780463.7768
2024-01-03 09:00:00,60205000.0,60799000.0,54346000.0,58581000.0,16310.30692586,945841183535.2499
2024-01-04 09:00:00,58581000.0,60162000.0,57319000.0,59477000.0,6254.53768656,366025648066.8456
2024-01-05 09:00:00,59477000.0,59695000.0,57577000.0,59351000.0,4822.3896766,284352418527.13806
2024-01-06 09:00:00,59351000.0,59518000.0,58651000.0,59329000.0,2482.6262327,146681858163.83517
2024-01-07 09:00:00,59329000.0,59879000.0,58630000.0,59108000.0,3285.09256035,195332894541.23975
2024-01-08 09:00:00,59105000.0,63410000.0,57801000.0,63010000.0,11161.48689391,677313414712.9883
2024-01-09 09:00:00,63011000.0,64385000.0,60748000.0,62014000.0,9882.55128738,617115004717.8223
2024-01-10 09:00:00,62001000.0,65000000.0,59730000.0,63621000.0,16442.71360776,1023312951596.1451
2024-01-11 09:00:00,63621000.0,66779000.0,62246000.0,63550000.0,14392.35118741,923979801876.3722
2024-01-12 09:00:00,63560000.0,63820000.0,58200000.0,59435000.0,11517.51602146,705250093415.7546
2024-01-13 09:00:00,59430000.0,59860000.0,58174000.0,58968000.0,5542.07595015,326997534585.3025
2024-01-14 09:00:00,58968000.0,59254000.0,57312000.0,57391000.0,3950.54738176,230963494089.2534
2024-01-15 09:00:00,57380000.0,59340000.0,57332000.0,58354000.0,3967.32180816,231794647049.94147
2024-01-16 09:00:00,58416000.0,59577000.0,58169000.0,59196000.0,3748.9674189,220847570069.63248
2024-01-17 09:00:00,59218000.0,59300000.0,58269000.0,58776000.0,2837.33448993,166684664128.92538
2024-01-18 09:00:00,58776000.0,58900000.0,56754000.0,57284000.0,4268.88383965,247274595060.62836
2024-01-19 09:00:00,57281000.0,58180000.0,55935000.0,57739000.0,5634.88177074,319935326045.1161
2024-01-20 09:00:00,57738000.0,57796000.0,57242000.0,57517000.0,2127.46454183,122466062930.22649
2024-01-21 09:00:00,57550000.0,57942000.0,57350000.0,57387000.0,2003.6715815,115423278977.731
2024-01-22 09:00:00,57392000.0,57543000.0,54659000.0,54689000.0,6334.41138362,354946267211.27905
2024-01-23 09:00:00,54689000.0,55576000.0,53125000.0,55389000.0,7696.9657732,417612365974.9237
2024-01-24 09:00:00,55389000.0,55850000.0,54446000.0,55200000.0,3615.04171313,199193987331.73764
2024-01-25 09:00:00,55200000.0,55586000.0,54760000.0,55101000.0,2868.41775244,158151643849.23672
2024-01-26 09:00:00,55101000.0,58146000.0,54957000.0,57503000.0,5241.71188424,297208668227.302
2024-01-27 09:00:00,57526000.0,58189000.0,57046000.0,58086000.0,2217.23585074,127856613888.00935
2024-01-28 09:00:00,58084000.0,58880000.0,57400000.0,57855000.0,2804.05316336,163353578683.5286
2024-01-29 09:00:00,57855000.0,59210000.0,57561000.0,59101000.0,3400.58213496,198470118247.67715
2024-01-30 09:00:00,59129000.0,59863000.0,58600000.0,58965000.0,4111.4027948,243788049861.6119
2024-01-31 09:00:00,58966000.0,59848000.0,58221000.0,58738000.0,3372.05512523,198864403810.88028
2024-02-01 09:00:00,58730000.0,59302000.0,57804000.0,59150000.0,2757.18048169,161060109648.93842
2024-02-02 09:00:00,59150000.0,59531000.0,58551000.0,59299000.0,2278.87315759,134728620635.56172
2024-02-03 09:00:00,59295000.0,59485000.0,59120000.0,59260000.0,1168.38699158,69320649322.95328
2024-02-04 09:00:00,59262000.0,59324000.0,58633000.0,58811000.0,1272.47453255,75191501973.40013
2024-02-05 09:00:00,58814000.0,59800000.0,58311000.0,58882000.0,2801.14722486,165309802322.86816
2024-02-06 09:00:00,58882000.0,59400000.0,58650000.0,59039000.0,2068.07481117,121948276958.82838
2024-02-07 09:00:00,59020000.0,60373000.0,58745000.0,60232000.0,4016.91251278,238381737380.20325
2024-02-08 09:00:00,60242000.0,62200000.0,60232000.0,62011000.0,4403.57321568,269421771730.88812
2024-02-09 09:00:00,62011000.0,64955000.0,61717000.0,63682000.0,8059.0341961,512755906366.25
2024-02-10 09:00:00,63682000.0,64890000.0,63062000.0,64549000.0,3520.61476764,225319150684.7367
2024-02-11 09:00:00,64549000.0,65500000.0,64256000.0,65230000.0,3675.68043315,238873276592.43555
2024-02-12 09:00:00,65231000.0,67444000.0,64887000.0,67002000.0,6674.5189116,441592898902.0397
2024-02-13 09:00:00,67002000.0,67698000.0,65800000.0,67309000.0,6757.73223342,452457508733.7282
2024-02-14 09:00:00,67309000.0,70300000.0,66800000.0,70199000.0,8040.24948851,555788800123.2118
2024-02-15 09:00:00,70195000.0,72216000.0,70190000.0,71253000.0,8360.6265065,596093200995.1085
2024-02-16 09:00:00,71253000.0,72500000.0,70782000.0,72128000.0,4895.5305616,351583502414.54065
2024-02-17 09:00:00,72134000.0,72267000.0,69595000.0,71530000.0,6239.93681452,443405034028.45605
